address1,category,category1,category2,city,latitude,longitude,name,phone,price,rating,review_count,url,zip
6561 W 88th St,Pubs,,,Los Angeles,33.957489,-118.403481,O'Malleys Pub,,,1,1,https://www.yelp.com/biz/o-malleys-pub-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
5630 W Manchester Ave,Sports Bars,American (New),,Los Angeles,33.95944,-118.37957,Game Sports Bar Restaurant & Lounge,+13102164263,$$,3.5,380,https://www.yelp.com/biz/game-sports-bar-restaurant-and-lounge-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
5855 W Century Blvd,Sports Bars,American (Traditional),,Los Angeles,33.946462,-118.384497,Hangar 18,+13106415700,$$,3.5,35,https://www.yelp.com/biz/hangar-18-los-angeles-4?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
6101 W Century Blvd,American (New),Bars,Sandwiches,Los Angeles,33.9466262,-118.390812,Costero California Bar + Bistro,+13106424820,$$,3.5,80,https://www.yelp.com/biz/costero-california-bar-bistro-los-angeles-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
909 E El Segundo Blvd,Breweries,Distilleries,,El Segundo,33.9167,-118.40595,Smoky Hollow Tasting & Taproom,+14242771134,$$,4.5,217,https://www.yelp.com/biz/smoky-hollow-tasting-and-taproom-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
335 Culver Blvd,Dive Bars,Sports Bars,,Playa Del Rey,33.960464,-118.446899,Prince O' Whales,+13108239826,$,4,218,https://www.yelp.com/biz/prince-o-whales-playa-del-rey-3?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90293
12223 W Washington Blvd,Cocktail Bars,Lounges,,Culver City,33.9975,-118.4263,Alley Lounge,+13105968257,$$,4,224,https://www.yelp.com/biz/alley-lounge-culver-city-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90066
204 Main St,Beer Bar,American (New),Brewpubs,El Segundo,33.9181418,-118.4158251,Brewport Tap House,+13106488972,$$,4.5,283,https://www.yelp.com/biz/brewport-tap-house-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
5119 W El Segundo Blvd,Sports Bars,American (Traditional),Beer Bar,Hawthorne,33.9165349,-118.3674438,Flights Craft Beer + Sports Grill,+13106768228,$$,4.5,687,https://www.yelp.com/biz/flights-craft-beer-sports-grill-hawthorne?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90250
12775 W Millennium Dr,Bars,Mexican,Breakfast & Brunch,Los Angeles,33.97607616706,-118.416961589194,SOL Mexican Cocina,+14242890066,$$,4,1032,https://www.yelp.com/biz/sol-mexican-cocina-los-angeles-3?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90094
200 World Way,American (New),Wine Bars,,Los Angeles,33.9461775313555,-118.404049476721,Sealegs Wine Bar,+14242278295,$$,4,49,https://www.yelp.com/biz/sealegs-wine-bar-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
888 N Pacific Coast Hwy,Lounges,Tapas/Small Plates,,El Segundo,33.92834,-118.39543,Flight Deck Lounge,,,4,1,https://www.yelp.com/biz/flight-deck-lounge-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
8325 Lincoln Blvd,Japanese,Sushi Bars,Bars,Los Angeles,33.96185,-118.4214,Kanpai Japanese Sushi Bar & Grill,+13103387223,$$$,4,1375,https://www.yelp.com/biz/kanpai-japanese-sushi-bar-and-grill-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
475 N Sepulveda Blvd,Cocktail Bars,Venues & Event Spaces,Tapas/Small Plates,El Segundo,33.9221291,-118.3965549,W XYZ Bar,+14242905555,$$$,4,17,https://www.yelp.com/biz/w-xyz-bar-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
143 Main St,American (New),Burgers,Beer Bar,El Segundo,33.9171292,-118.4161161,Rock & Brews - El Segundo,+13106159890,$$,4,1279,https://www.yelp.com/biz/rock-and-brews-el-segundo-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
555 N Nash St,Sports Bars,Breakfast & Brunch,American (Traditional),El Segundo,33.922009,-118.388195,King's Cove,+13104144022,$$,4,31,https://www.yelp.com/biz/kings-cove-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
8711 La Tijera Blvd,Hookah Bars,,,Los Angeles,33.95815,-118.39377,LAX Hookah Lounge,+13105689000,$$,4.5,13,https://www.yelp.com/biz/lax-hookah-lounge-los-angeles-6?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
3811 Grand View Blvd,Cocktail Bars,Lounges,,Los Angeles,34.0044153,-118.4310809,Accomplice Bar,+13105747610,$$,4.5,101,https://www.yelp.com/biz/accomplice-bar-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90066
226 Standard St,Sports Bars,American (Traditional),,El Segundo,33.91855,-118.41438,The Standard Station,+13103222255,$$,4,297,https://www.yelp.com/biz/the-standard-station-el-segundo-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
1 World Way,Airport Lounges,,,Los Angeles,33.9438975942788,-118.41024125872,Star Alliance Lounge,,$,4,126,https://www.yelp.com/biz/star-alliance-lounge-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
3817 Grand View Blvd,German,Pubs,,Los Angeles,34.00413,-118.43102,Rasselbock L.A. Kitchen & Beer Garden,+13104392938,,4.5,36,https://www.yelp.com/biz/rasselbock-l-a-kitchen-and-beer-garden-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90066
3967 Sepulveda Blvd,Dive Bars,Music Venues,,Culver City,34.0094327,-118.4146384,The Cinema Bar,+13103901328,$,4,153,https://www.yelp.com/biz/the-cinema-bar-culver-city?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90230
206 E Grand Ave,Dive Bars,Sports Bars,,El Segundo,33.91911,-118.4144672,The Office Downtown,+13106483131,$,3.5,45,https://www.yelp.com/biz/the-office-downtown-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
1 World Way,Irish Pub,,,Los Angeles,33.9473531704819,-118.40132681683,Reilly's Pub - Terminal 1 at LAX Airport,,$$,2.5,63,https://www.yelp.com/biz/reillys-pub-terminal-1-at-lax-airport-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
1662 W Centinela Ave,Dance Clubs,Cocktail Bars,,Inglewood,33.97745,-118.36849,The Green Horse Nightclub,+13106496776,$,4.5,43,https://www.yelp.com/biz/the-green-horse-nightclub-inglewood?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90302
123 Main St,American (Traditional),Sports Bars,Pubs,El Segundo,33.91731,-118.41629,Tavern On Main,+13103223645,$$,4,289,https://www.yelp.com/biz/tavern-on-main-el-segundo?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
2819 Pico Blvd,Bars,,,Santa Monica,34.0245094,-118.4603195,Barkowski,+13109980069,$,4.5,228,https://www.yelp.com/biz/barkowski-santa-monica?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90405
11780 W Pico Blvd,Cocktail Bars,Wine Bars,Beer Bar,Los Angeles,34.0305786132812,-118.447105407715,Neat,+13108817081,$$,4.5,139,https://www.yelp.com/biz/neat-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90064
13020 Pacific Promenade,American (New),Burgers,Sports Bars,Los Angeles,33.972623121843,-118.423509187836,Gulp,+13104963966,$$,4,153,https://www.yelp.com/biz/gulp-los-angeles-5?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90094
52 Windward Ave,Speakeasies,,,Venice,33.9872017,-118.47258,The Del Monte Speakeasy,+13103924040,$$,4,99,https://www.yelp.com/biz/the-del-monte-speakeasy-venice?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90291
12236 W Washington Blvd,Lounges,Korean,Chicken Wings,Los Angeles,33.99689,-118.42654,Alibi Room,+13103909300,$$,4,1441,https://www.yelp.com/biz/alibi-room-los-angeles-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90066
5985 W Century Blvd,Beer Bar,,,Los Angeles,33.9459129710387,-118.388789556921,Century Taproom,+13106427500,$$,3.5,55,https://www.yelp.com/biz/century-taproom-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90045
5401 Sepulveda Blvd,Bars,Karaoke,,Culver City,33.99495,-118.39577,Tattle Tale Room,+13103902489,$,4,200,https://www.yelp.com/biz/tattle-tale-room-culver-city?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90230
244 S Market St,Bars,American (Traditional),,Inglewood,33.960773,-118.351608,Market Street Bar & Grill,+13104120091,$,4.5,102,https://www.yelp.com/biz/market-street-bar-and-grill-inglewood?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90301
2191 Rosecrans Ave,Mexican,Bars,,El Segundo,33.9020849,-118.3855499,Caló Kitchen + Tequila,+14242692322,$$,4.5,276,https://www.yelp.com/biz/cal%C3%B3-kitchen-tequila-el-segundo-4?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90245
10797 Washington Blvd,Barbers,Cocktail Bars,,Culver City,34.0158615563944,-118.4068836,Blind Barber,+13108416679,$$,4,829,https://www.yelp.com/biz/blind-barber-culver-city?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90232
9400 Culver Blvd,Cocktail Bars,Lounges,,Culver City,34.0238113,-118.3941727,The Velvet Lounge,+13105589400,$$,4.5,28,https://www.yelp.com/biz/the-velvet-lounge-culver-city?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90232
12012 W Pico Blvd,Lounges,American (Traditional),Cocktail Bars,Los Angeles,34.0295863,-118.4495683,The Arsenal,+13105755511,$$,4,736,https://www.yelp.com/biz/the-arsenal-los-angeles-2?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90064
11611 S Inglewood Ave,Bars,,,Hawthorne,33.92872,-118.36156,RUNWAY 24L,+14242691176,,4.5,2,https://www.yelp.com/biz/runway-24l-hawthorne?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90250
2536 Lincoln Blvd,Wine Bars,Cocktail Bars,Beer Bar,Los Angeles,33.9915657043457,-118.448348999023,The Lincoln,+13108221715,$$,4,157,https://www.yelp.com/biz/the-lincoln-los-angeles?adjust_creative=vimtcrqNbIfujUcXQz8lVA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vimtcrqNbIfujUcXQz8lVA,90291
